name,team_code,pos
Filip Krovinovic,35,3
Karlan Grant,35,4
Lee Peltier,35,2
Cheikh Diaby,35,4
Andy Lonergan,35,1
Mbaye Diagne,35,4
Okay Yokuslu,35,3
Jesse Lingard,21,3
Mark Noble,21,3
David Martin,21,1
Darren Randolph,21,1
Lukasz Fabianski,21,1
Angelo Ogbonna,21,2
Roberto Jimenez Gago,21,1
Jack Wilshere,21,3
Aaron Cresswell,21,2
Andriy Yarmolenko,21,3
Michail Antonio,21,4
Ryan Fredericks,21,2
Manuel Lanzini,21,3
Felipe Anderson Pereira Gomes,21,3
Sébastien Haller,21,4
Arthur Masuaku,21,2
Fabián Balbuena,21,2
Jordan Hugill,21,4
Jarrod Bowen,21,3
Albian Ajeti,21,4
Declan Rice,21,3
Tomas Soucek,21,3
Pablo Fornals,21,3
Issa Diop,21,2
Ben Johnson,21,2
Vladimir Coufal,21,2
Craig Dawson,21,2
Saïd Benrahma,21,3
Frederik Alves,21,2
Ademipo Odubeko,21,4
Conor Coventry,21,3
Jamal Baptiste,21,2
John Ruddy,39,1
João Filipe Iria Santos Moutinho,39,3
Rui Pedro dos Santos Patrício,39,1
Ryan Bennett,39,2
Willy Boly,39,2
Conor Coady,39,2
Raúl Jiménez,39,4
Romain Saïss,39,2
Jonathan Castro Otto,39,2
Léo Bonatini,39,4
Leander Dendoncker,39,3
Adama Traoré,39,3
Rúben Diogo da Silva Neves,39,3
Oskar Buur,39,2
Daniel Castelo Podence,39,3
Max Kilman,39,2
Rúben Gonçalo Silva Nascimento Vinagre,39,2
Matija Sarkic,39,1
Morgan Gibbs-White,39,3
Pedro Lomba Neto,39,3
Bruno André Cavaco Jordao,39,3
Leonardo Campana,39,4
Fabio Silva,39,4
Fernando Marçal,39,2
Vitor Ferreira,39,3
Ki-Jana Hoever,39,2
Nélson Cabral Semedo,39,2
Meritan Shabani,39,3
Rayan Ait Nouri,39,2
Owen Otasowie,39,3
Theo Corbeanu,39,3
Taylor Perry,39,3
Luke Cundle,39,3
Lewis Richards,39,2
Christian Marques,39,2
Andreas Söndergaard,39,1
Patrick Cutrone,39,4
Nigel Lonwijk,39,2
Willian José Da Silva,39,4
Hugo Bueno,39,2
